#,Time,%Passes,Change,Test,Pass,Partial,Fail,Untested
0,Mon Sep 14 22:38:48 EDT 2020,0,0,MainClassSuite, , ,BasicMainTest- DerivingMainTest- InferringMainTest- InterpolatingMainTest- SocialDistanceBasicMainProvided- SocialDistanceClassRegistryProvided- SocialDistanceDerivingMainProvided- SocialDistanceInferringMainProvided- SocialDistanceInterpolatingMainProvided- SocialDistanceUtilityTesterMainProvided- UtilityTesterMainTest- ,A1AccessModifiersMatched A1InterfaceAsType A1MnemonicNames A1NamedConstants A1NoCheckstyleWarnings A1PublicMethodsOverride ClassifierFactory CompareSafetyComputationsTest ControllerFactory DerivedSafetyTest GenerateSafeDistancesAndDurationsTest GivenSafetyTest InterpolatedReuse InterpolatedSafetyTest IsInferredSafeTest IsInterpolatedOneParameterSafetyTest IsInterpolatedTwoParameterSafetyTest ModelFactory PrintGeneratedCombinationDerivedSafetyTest PrintGeneratedCombinationInferredSafetyTest PrintGivenAndGeneratedCombinationDerivedTest PrintSafeDistancesAndDurationsTest SafeSocializationtxtProvided SocialDistanceUtilityProvided UtilityJavaDocs ViewFactory WekaFileSizeTest ,
1,Mon Sep 14 22:38:50 EDT 2020,0,0,UtilityClassSuite, , ,BasicMainTest CompareSafetyComputationsTest+ DerivedSafetyTest+ DerivingMainTest GenerateSafeDistancesAndDurationsTest+ GivenSafetyTest+ InferringMainTest InterpolatedSafetyTest+ InterpolatingMainTest IsInferredSafeTest+ IsInterpolatedOneParameterSafetyTest+ IsInterpolatedTwoParameterSafetyTest+ PrintGeneratedCombinationDerivedSafetyTest+ PrintGeneratedCombinationInferredSafetyTest+ PrintGivenAndGeneratedCombinationDerivedTest+ PrintSafeDistancesAndDurationsTest+ SafeSocializationtxtProvided+ SocialDistanceBasicMainProvided SocialDistanceClassRegistryProvided SocialDistanceDerivingMainProvided SocialDistanceInferringMainProvided SocialDistanceInterpolatingMainProvided SocialDistanceUtilityProvided+ SocialDistanceUtilityTesterMainProvided UtilityTesterMainTest WekaFileSizeTest+ ,A1AccessModifiersMatched A1InterfaceAsType A1MnemonicNames A1NamedConstants A1NoCheckstyleWarnings A1PublicMethodsOverride ClassifierFactory ControllerFactory InterpolatedReuse ModelFactory UtilityJavaDocs ViewFactory ,
2,Mon Sep 14 22:38:53 EDT 2020,0,0,FactoriesSuite, , ,BasicMainTest ClassifierFactory+ CompareSafetyComputationsTest ControllerFactory+ DerivedSafetyTest DerivingMainTest GenerateSafeDistancesAndDurationsTest GivenSafetyTest InferringMainTest InterpolatedSafetyTest InterpolatingMainTest IsInferredSafeTest IsInterpolatedOneParameterSafetyTest IsInterpolatedTwoParameterSafetyTest ModelFactory+ PrintGeneratedCombinationDerivedSafetyTest PrintGeneratedCombinationInferredSafetyTest PrintGivenAndGeneratedCombinationDerivedTest PrintSafeDistancesAndDurationsTest SafeSocializationtxtProvided SocialDistanceBasicMainProvided SocialDistanceClassRegistryProvided SocialDistanceDerivingMainProvided SocialDistanceInferringMainProvided SocialDistanceInterpolatingMainProvided SocialDistanceUtilityProvided SocialDistanceUtilityTesterMainProvided UtilityTesterMainTest ViewFactory+ WekaFileSizeTest ,A1AccessModifiersMatched A1InterfaceAsType A1MnemonicNames A1NamedConstants A1NoCheckstyleWarnings A1PublicMethodsOverride InterpolatedReuse UtilityJavaDocs ,
3,Mon Sep 14 22:38:58 EDT 2020,0,0,A1ModularitySuite, , ,BasicMainTest ClassifierFactory CompareSafetyComputationsTest ControllerFactory DerivedSafetyTest DerivingMainTest GenerateSafeDistancesAndDurationsTest GivenSafetyTest InferringMainTest InterpolatedReuse+ InterpolatedSafetyTest InterpolatingMainTest IsInferredSafeTest IsInterpolatedOneParameterSafetyTest IsInterpolatedTwoParameterSafetyTest ModelFactory PrintGeneratedCombinationDerivedSafetyTest PrintGeneratedCombinationInferredSafetyTest PrintGivenAndGeneratedCombinationDerivedTest PrintSafeDistancesAndDurationsTest SafeSocializationtxtProvided SocialDistanceBasicMainProvided SocialDistanceClassRegistryProvided SocialDistanceDerivingMainProvided SocialDistanceInferringMainProvided SocialDistanceInterpolatingMainProvided SocialDistanceUtilityProvided SocialDistanceUtilityTesterMainProvided UtilityJavaDocs+ UtilityTesterMainTest ViewFactory WekaFileSizeTest ,A1AccessModifiersMatched A1InterfaceAsType A1MnemonicNames A1NamedConstants A1NoCheckstyleWarnings A1PublicMethodsOverride ,
4,Mon Sep 14 22:39:00 EDT 2020,0,0,A1GeneralStyleSuite, , ,A1AccessModifiersMatched+ A1InterfaceAsType+ A1MnemonicNames+ A1NamedConstants+ A1NoCheckstyleWarnings+ A1PublicMethodsOverride+ BasicMainTest ClassifierFactory CompareSafetyComputationsTest ControllerFactory DerivedSafetyTest DerivingMainTest GenerateSafeDistancesAndDurationsTest GivenSafetyTest InferringMainTest InterpolatedReuse InterpolatedSafetyTest InterpolatingMainTest IsInferredSafeTest IsInterpolatedOneParameterSafetyTest IsInterpolatedTwoParameterSafetyTest ModelFactory PrintGeneratedCombinationDerivedSafetyTest PrintGeneratedCombinationInferredSafetyTest PrintGivenAndGeneratedCombinationDerivedTest PrintSafeDistancesAndDurationsTest SafeSocializationtxtProvided SocialDistanceBasicMainProvided SocialDistanceClassRegistryProvided SocialDistanceDerivingMainProvided SocialDistanceInferringMainProvided SocialDistanceInterpolatingMainProvided SocialDistanceUtilityProvided SocialDistanceUtilityTesterMainProvided UtilityJavaDocs UtilityTesterMainTest ViewFactory WekaFileSizeTest , ,
5,Mon Sep 14 22:39:03 EDT 2020,0,0,UtilityClassSuite, , ,A1AccessModifiersMatched A1InterfaceAsType A1MnemonicNames A1NamedConstants A1NoCheckstyleWarnings A1PublicMethodsOverride BasicMainTest ClassifierFactory CompareSafetyComputationsTest ControllerFactory DerivedSafetyTest DerivingMainTest GenerateSafeDistancesAndDurationsTest GivenSafetyTest InferringMainTest InterpolatedReuse InterpolatedSafetyTest InterpolatingMainTest IsInferredSafeTest IsInterpolatedOneParameterSafetyTest IsInterpolatedTwoParameterSafetyTest ModelFactory PrintGeneratedCombinationDerivedSafetyTest PrintGeneratedCombinationInferredSafetyTest PrintGivenAndGeneratedCombinationDerivedTest PrintSafeDistancesAndDurationsTest SafeSocializationtxtProvided SocialDistanceBasicMainProvided SocialDistanceClassRegistryProvided SocialDistanceDerivingMainProvided SocialDistanceInferringMainProvided SocialDistanceInterpolatingMainProvided SocialDistanceUtilityProvided SocialDistanceUtilityTesterMainProvided UtilityJavaDocs UtilityTesterMainTest ViewFactory WekaFileSizeTest , ,
6,Mon Sep 14 22:39:04 EDT 2020,0,0,MainClassSuite, , ,A1AccessModifiersMatched A1InterfaceAsType A1MnemonicNames A1NamedConstants A1NoCheckstyleWarnings A1PublicMethodsOverride BasicMainTest ClassifierFactory CompareSafetyComputationsTest ControllerFactory DerivedSafetyTest DerivingMainTest GenerateSafeDistancesAndDurationsTest GivenSafetyTest InferringMainTest InterpolatedReuse InterpolatedSafetyTest InterpolatingMainTest IsInferredSafeTest IsInterpolatedOneParameterSafetyTest IsInterpolatedTwoParameterSafetyTest ModelFactory PrintGeneratedCombinationDerivedSafetyTest PrintGeneratedCombinationInferredSafetyTest PrintGivenAndGeneratedCombinationDerivedTest PrintSafeDistancesAndDurationsTest SafeSocializationtxtProvided SocialDistanceBasicMainProvided SocialDistanceClassRegistryProvided SocialDistanceDerivingMainProvided SocialDistanceInferringMainProvided SocialDistanceInterpolatingMainProvided SocialDistanceUtilityProvided SocialDistanceUtilityTesterMainProvided UtilityJavaDocs UtilityTesterMainTest ViewFactory WekaFileSizeTest , ,
7,Mon Sep 14 22:48:03 EDT 2020,0,0,UtilityClassSuite, , ,A1AccessModifiersMatched A1InterfaceAsType A1MnemonicNames A1NamedConstants A1NoCheckstyleWarnings A1PublicMethodsOverride BasicMainTest ClassifierFactory CompareSafetyComputationsTest ControllerFactory DerivedSafetyTest DerivingMainTest GenerateSafeDistancesAndDurationsTest GivenSafetyTest InferringMainTest InterpolatedReuse InterpolatedSafetyTest InterpolatingMainTest IsInferredSafeTest IsInterpolatedOneParameterSafetyTest IsInterpolatedTwoParameterSafetyTest ModelFactory PrintGeneratedCombinationDerivedSafetyTest PrintGeneratedCombinationInferredSafetyTest PrintGivenAndGeneratedCombinationDerivedTest PrintSafeDistancesAndDurationsTest SafeSocializationtxtProvided SocialDistanceBasicMainProvided SocialDistanceClassRegistryProvided SocialDistanceDerivingMainProvided SocialDistanceInferringMainProvided SocialDistanceInterpolatingMainProvided SocialDistanceUtilityProvided SocialDistanceUtilityTesterMainProvided UtilityJavaDocs UtilityTesterMainTest ViewFactory WekaFileSizeTest , ,
8,Mon Sep 14 23:06:05 EDT 2020,13,13,A1GeneralStyleSuite,PrintGeneratedCombinationDerivedSafetyTest+ SocialDistanceClassRegistryProvided+ SocialDistanceDerivingMainProvided+ SocialDistanceUtilityProvided+ SocialDistanceUtilityTesterMainProvided+ ,PrintSafeDistancesAndDurationsTest+ ,A1AccessModifiersMatched A1InterfaceAsType A1MnemonicNames A1NamedConstants A1NoCheckstyleWarnings A1PublicMethodsOverride BasicMainTest ClassifierFactory CompareSafetyComputationsTest ControllerFactory DerivedSafetyTest DerivingMainTest GenerateSafeDistancesAndDurationsTest GivenSafetyTest InferringMainTest InterpolatedReuse InterpolatedSafetyTest InterpolatingMainTest IsInferredSafeTest IsInterpolatedOneParameterSafetyTest IsInterpolatedTwoParameterSafetyTest ModelFactory PrintGeneratedCombinationInferredSafetyTest PrintGivenAndGeneratedCombinationDerivedTest SafeSocializationtxtProvided SocialDistanceBasicMainProvided SocialDistanceInferringMainProvided SocialDistanceInterpolatingMainProvided UtilityJavaDocs UtilityTesterMainTest ViewFactory WekaFileSizeTest , ,
9,Mon Sep 14 23:06:06 EDT 2020,13,0,FactoriesSuite,PrintGeneratedCombinationDerivedSafetyTest SocialDistanceClassRegistryProvided SocialDistanceDerivingMainProvided SocialDistanceUtilityProvided SocialDistanceUtilityTesterMainProvided ,PrintSafeDistancesAndDurationsTest ,A1AccessModifiersMatched A1InterfaceAsType A1MnemonicNames A1NamedConstants A1NoCheckstyleWarnings A1PublicMethodsOverride BasicMainTest ClassifierFactory CompareSafetyComputationsTest ControllerFactory DerivedSafetyTest DerivingMainTest GenerateSafeDistancesAndDurationsTest GivenSafetyTest InferringMainTest InterpolatedReuse InterpolatedSafetyTest InterpolatingMainTest IsInferredSafeTest IsInterpolatedOneParameterSafetyTest IsInterpolatedTwoParameterSafetyTest ModelFactory PrintGeneratedCombinationInferredSafetyTest PrintGivenAndGeneratedCombinationDerivedTest SafeSocializationtxtProvided SocialDistanceBasicMainProvided SocialDistanceInferringMainProvided SocialDistanceInterpolatingMainProvided UtilityJavaDocs UtilityTesterMainTest ViewFactory WekaFileSizeTest , ,
